track_name,artist_name,artist_count,released_year,released_month,released_day,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,number_characters
PROVENZA,Karol G,1,2022,4,21,443653098,111,C#,Major,87,53,52,66,1,11,5,8
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,104992946,148,A,Major,90,74,68,14,0,10,19,33
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,147290338,182,A,Major,57,80,59,8,0,6,5,9
Igualito a Mi Apï¿½,"Fuerza Regida, Peso Pluma",2,2022,12,30,79674177,145,E,Minor,76,80,81,19,0,6,9,19
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,76910644,110,B,Minor,76,26,70,1,0,41,6,33
Komang,Raim Laode,1,2022,8,16,68733344,134,G,Major,70,35,41,41,0,10,3,6
DESPECHï¿½,ROSALï¿½,1,2022,7,28,392162651,130,G,Major,92,78,62,18,0,6,10,10
Made You Look,Meghan Trainor,1,2022,10,21,251915693,145,A#,Major,84,88,53,35,0,8,7,13
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,207033255,130,B,Minor,69,36,90,1,10,15,4,39
Punto G,Quevedo,1,2022,11,4,191056963,92,B,Minor,75,55,76,25,0,10,15,7
Lovers Rock,TV Girl,1,2014,6,5,47679193,105,F,Minor,56,57,87,0,1,10,4,11
METAMORPHOSIS,INTERWORLD,1,2021,11,25,119789979,175,G,Minor,59,15,64,43,90,12,10,13
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,61105704,120,G,Minor,80,33,70,22,0,9,4,10
En Paris,"El Chachito, Junior H",2,2022,12,24,99385545,139,D#,Minor,70,77,48,37,0,12,5,8
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,119052907,114,A#,Major,32,17,74,14,0,17,3,17
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,34502215,145,B,Minor,54,19,48,36,0,37,5,40
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,152439447,94,G#,Major,89,61,66,17,0,36,16,13
Call Out My Name,The Weeknd,1,2018,3,29,244663696,134,C#,Major,45,17,60,21,0,33,4,16
Like Crazy (English Version),Jimin,1,2023,3,24,173627354,120,G,Major,62,32,76,0,0,39,4,28
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,90025258,123,G,Minor,70,86,68,24,0,11,4,11
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,218656959,131,A#,Major,77,84,71,35,0,15,4,7
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,146409671,94,B,Major,82,53,67,34,0,9,8,17
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,95816024,89,G,Minor,73,44,57,39,0,32,6,22
REMIX EXCLUSIVO,Feid,1,2023,3,17,117206995,87,F,Minor,65,71,56,4,0,15,20,15
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,100409613,124,B,Minor,72,79,78,55,0,15,30,39
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,80758350,78,G#,Major,71,80,65,51,0,22,32,8
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,163203205,120,G#,Major,70,70,79,7,0,18,10,5
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,58473276,96,F#,Minor,48,50,80,40,0,37,20,15
HAPPY,NF,1,2023,3,25,52722996,106,G,Major,73,22,86,31,0,12,4,5
La Bebe,Yng Lvcas,1,2021,12,24,64302040,170,D,Minor,78,75,46,62,0,12,35,7
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,77377503,134,B,Minor,67,11,76,8,47,30,7,20
Late Night Talking,Harry Styles,1,2022,5,20,372776421,115,A#,Major,71,90,73,30,0,11,5,18
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,134229540,130,F#,Major,74,79,87,45,0,30,3,5
Something in the Orange,Zach Bryan,1,2022,4,22,225413012,110,G,Major,59,22,38,42,0,12,3,23
VOID,Melanie Martinez,1,2023,3,29,67070410,100,A,Major,72,42,66,18,4,19,4,4
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,116334601,142,G,Minor,70,76,79,26,0,11,7,28
If We Ever Broke Up,Mae Stephens,1,2023,2,10,165584767,116,G,Major,90,96,73,62,0,9,4,19
You Proof,Morgan Wallen,1,2022,5,13,184366919,120,A,Major,73,64,85,25,0,61,3,9
LA INOCENTE,"Feid, Mora",2,2022,4,1,239113065,92,F,Minor,76,46,79,31,0,7,6,11
Malas Decisiones,Kenia OS,1,2022,10,26,78302617,110,G#,Minor,81,64,79,5,0,31,3,16
Murder In My Mind,Kordhell,1,2022,1,21,224982905,120,A#,Major,71,57,97,1,0,13,11,17
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,147544011,115,F,Minor,95,43,69,47,0,9,31,5
I Love You So,The Walters,1,2014,11,28,99418408,76,A#,Major,58,46,67,65,0,13,4,13
Dark Red,Steve Lacy,1,2017,2,20,133414813,172,F#,Major,60,77,78,45,0,12,6,8
Say You Won't Let Go,James Arthur,1,2016,9,9,307878822,99,A#,Major,40,45,56,69,0,9,5,20
Heart To Heart,Mac DeMarco,1,2019,5,10,49422290,150,G#,Minor,90,64,14,67,35,11,10,14
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,68216992,92,A#,Minor,71,41,31,79,0,10,5,42
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,112070760,95,C#,Major,77,72,87,17,0,7,5,16
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,236499655,102,B,Minor,83,58,83,21,0,10,5,6
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,116599790,94,B,Minor,68,81,82,53,0,9,13,28
One Thing At A Time,Morgan Wallen,1,2022,12,2,74420302,142,G,Major,61,92,91,0,0,26,3,19
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,249234198,145,F#,Minor,59,20,74,1,0,15,5,8
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,88791109,121,F#,Minor,64,67,80,0,0,36,3,17
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,125917280,140,D#,Minor,66,43,76,49,0,12,3,18
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,105062254,137,C#,Minor,84,44,67,8,0,11,6,46
Everything I Love,Morgan Wallen,1,2023,1,31,95623148,104,G#,Major,56,72,85,0,0,15,3,17
Heaven,Niall Horan,1,2023,2,17,144584800,92,F,Major,57,68,76,7,0,33,3,6
LET GO,Central Cee,1,2022,12,15,149404453,146,D,Minor,74,51,45,86,0,21,38,6
Sial,Mahalini,1,2023,1,23,166570053,120,D,Major,56,20,43,89,0,12,4,4
I Wrote The Book,Morgan Wallen,1,2023,1,31,83021468,144,D,Major,68,83,81,9,0,8,4,16
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,70092822,94,A,Major,59,44,56,80,0,6,3,29
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,151987166,94,G#,Major,73,65,79,5,2,11,6,16
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,110981593,113,G,Minor,79,66,74,8,0,11,5,17
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,58890931,148,E,Major,50,49,76,12,0,12,3,34
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,81419389,98,C#,Major,70,29,73,12,0,11,26,18
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,78584678,140,B,Major,58,26,38,91,0,10,4,15
Nobody Gets Me,SZA,1,2022,12,9,142810292,100,G,Major,36,28,28,81,0,18,3,14
PERO Tï¿½,"Karol G, Quevedo",2,2023,2,23,93438910,140,F#,Major,86,68,79,39,0,11,29,9
Hype Boy,NewJeans,1,2022,8,1,182190663,100,E,Minor,59,78,94,27,0,29,23,8
Bloody Mary,Lady Gaga,1,2011,1,1,29519447,100,A,Minor,59,49,65,2,0,13,3,11
ï¿½ï¿½ï¿½98 Braves,Morgan Wallen,1,2023,3,3,56533272,142,D,Major,49,48,67,10,0,26,3,18
WANDA,Quevedo,1,2023,1,20,175399345,176,E,Minor,72,96,63,25,0,21,7,5
Thought You Should Know,Morgan Wallen,1,2022,5,6,101864760,140,F#,Major,53,51,70,49,0,14,3,23
Zona De Perigo,Leo Santana,1,2022,12,8,67315116,135,F,Major,81,97,77,75,0,35,3,14
Lovezinho,Treyce,1,2022,7,28,35122459,128,E,Minor,82,61,59,30,0,12,4,9
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,305408319,101,F,Major,74,43,69,12,0,12,7,43
Neverita,Bad Bunny,1,2022,5,6,336522186,122,A#,Major,88,43,50,7,0,14,5,8
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,46910816,83,C#,Major,53,40,36,73,0,11,33,20
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,409867875,77,B,Minor,72,59,76,24,0,42,28,59
Revenge,XXXTENTACION,1,2017,8,25,148236543,140,B,Minor,75,18,25,78,0,11,26,7
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,132055970,158,C#,Major,65,72,95,31,0,92,5,21
LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,28,289902916,176,G,Major,75,43,65,15,0,11,32,11
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20,118724626,98,B,Major,73,88,57,56,0,5,2,12
Love Again,The Kid Laroi,1,2023,1,27,147538971,107,B,Minor,66,47,40,72,0,11,3,10
After Hours,The Weeknd,1,2020,2,19,175832619,109,F,Minor,66,16,57,10,1,12,3,11
About Damn Time,Lizzo,1,2022,7,15,362852102,109,A#,Minor,84,72,74,10,0,34,7,15
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Fujii Kaze,1,2020,5,20,101531425,158,F#,Minor,60,52,76,17,0,19,5,63
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29,155128839,94,F,Minor,74,64,73,6,0,10,6,11
Maan Meri Jaan,King,1,2022,10,12,160182890,96,F#,Minor,70,40,51,35,0,10,4,14
Moscow Mule,Bad Bunny,1,2022,5,6,455637248,100,F,Minor,80,29,67,29,0,12,3,11
My Universe,"Coldplay, BTS",2,2021,9,24,355760249,105,A,Major,58,42,68,1,0,14,4,11
LLYLM,ROSALï¿½,1,2023,1,27,124988687,170,F#,Minor,56,56,63,13,0,19,27,5
TRUSTFALL,P!nk,1,2023,1,27,134255790,122,G#,Major,64,25,89,0,0,15,9,9
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,150902174,105,A#,Minor,88,82,80,8,0,11,8,11
Boy's a liar,PinkPantheress,1,2022,11,30,78364734,133,F,Major,66,74,84,25,0,21,4,12
Shirt,SZA,1,2022,10,28,155214057,120,D#,Minor,82,55,45,15,3,9,10,5
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,149036140,177,A,Major,25,17,30,90,0,13,3,77
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,166668809,142,D,Minor,64,31,72,15,0,9,5,46
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,61119728,144,E,Minor,57,47,84,1,1,52,4,16
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,215252537,120,B,Minor,65,80,86,9,0,19,10,27
"Hey, Mickey!",Baby Tate,1,2016,9,27,15615343,135,D,Major,92,73,51,55,0,15,6,12
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,684298,105,G,Major,82,62,74,10,0,33,7,17
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,92384761,108,F#,Minor,44,38,77,9,0,9,20,19
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,303938795,174,F,Major,70,57,64,23,0,8,32,11
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,12,120972253,90,A#,Minor,68,83,71,3,0,31,8,8
TV,Billie Eilish,1,2022,7,21,169705695,141,E,Minor,41,9,25,84,1,14,4,2
I'm Not The Only One,Sam Smith,1,2014,1,1,164338451,82,F,Major,68,50,49,56,0,8,4,20
Heather,Conan Gray,1,2020,3,20,327894903,92,F,Major,47,25,43,62,0,32,3,7
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,70268742,116,G#,Minor,77,65,80,6,0,15,4,30
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,107642809,125,A#,Minor,71,83,89,1,0,17,9,15
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,278988365,83,C#,Major,46,34,64,31,0,7,34,31
Don't Start Now,Dua Lipa,1,2019,10,31,465224339,124,B,Minor,79,68,79,1,0,10,8,15
After Dark,Mr.Kitty,1,2014,8,8,66153859,140,G#,Major,58,4,60,7,41,8,3,10
MIDDLE OF THE NIGHT,Elley Duhï¿½,1,2020,1,10,219672225,186,E,Minor,41,9,61,2,0,12,5,19
Atlantis,Seafret,1,2015,4,22,64764506,166,G#,Minor,40,23,48,5,0,12,3,8
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,87220972,87,G,Major,87,52,52,31,0,28,24,12
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,142748893,82,G#,Major,40,39,64,21,0,7,7,20
Blind,SZA,1,2022,12,9,81846104,114,A,Minor,46,60,28,91,0,21,4,5
Die For You,Joji,1,2022,11,4,123503020,148,G#,Major,47,15,52,38,13,29,5,11
Doja,Central Cee,1,2022,7,20,241731548,140,F#,Major,91,97,57,38,0,40,29,4
Gatita,Bellakath,1,2022,10,3,84553117,101,G,Major,90,76,81,15,24,33,6,6
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,39343021,140,C#,Minor,81,6,84,5,23,6,6,6
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,98002706,88,G,Minor,49,24,66,19,0,18,29,57
Yonaguni,Bad Bunny,1,2021,6,4,422300898,180,C#,Major,64,44,65,28,0,14,12,8
Super Freaky Girl,Nicki Minaj,1,2022,8,12,214878695,133,D,Major,95,91,89,6,0,31,24,17
Limbo,Freddie Dredd,1,2022,8,11,99942350,75,B,Minor,80,46,62,3,6,11,46,5
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,325792070,121,F#,Minor,67,26,64,52,0,17,10,17
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,106986087,140,D,Minor,58,17,62,18,0,20,8,13
KICK BACK,Kenshi Yonezu,1,2022,10,12,105281964,102,C#,Major,58,29,94,0,0,9,11,9
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8,114244236,82,A,Major,70,31,34,60,1,11,4,42
Good Days,SZA,1,2020,12,24,208208338,121,C#,Minor,46,53,78,23,0,72,6,9
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,454013901,103,F#,Minor,70,92,83,1,0,7,6,25
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,91142854,85,F,Minor,65,36,47,31,0,12,10,35
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,231974287,125,C#,Minor,84,70,69,1,0,5,5,7
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,174759409,120,D,Major,69,40,39,41,0,13,6,23
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿½,1,2011,10,14,64000788,93,E,Major,35,38,23,91,0,29,3,43
Underneath the Tree,Kelly Clarkson,1,2013,10,25,45228053,160,G#,Major,51,69,81,0,0,21,5,19
Holly Jolly Christmas,Michael Bublï¿½,1,2011,10,14,37743287,151,G,Major,65,70,47,87,0,9,4,21
Mistletoe,Justin Bieber,1,2011,1,1,49863137,162,F#,Minor,67,88,54,51,0,9,4,9
Seek & Destroy,SZA,1,2022,12,9,49478050,152,C#,Major,65,35,65,44,18,21,7,14
Love Language,SZA,1,2022,12,9,55563087,65,A,Minor,71,55,26,85,0,13,8,13
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,47120399,150,A#,Minor,73,71,69,53,0,32,9,24
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,55174216,125,F#,Major,62,59,43,84,3,11,5,44
SOS,SZA,1,2022,12,9,37083122,119,G,Minor,51,51,66,67,0,9,23,3
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,78021536,78,A,Major,67,22,59,76,1,15,16,30
Gone Girl,SZA,1,2022,12,9,32763097,150,F,Major,43,42,44,57,0,15,6,9
F2F,SZA,1,2022,12,9,33854507,90,D,Major,53,47,74,9,0,34,4,3
Notice Me,SZA,1,2022,12,9,31087060,160,F,Major,72,78,68,28,0,11,12,9
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,68515636,100,B,Minor,70,92,59,3,0,10,3,12
Wild Flower (with youjeen),RM,1,2022,12,2,67975224,155,G#,Major,49,42,77,3,0,12,9,26
I Hate U,SZA,1,2021,12,3,119498308,107,G,Minor,54,41,39,51,0,11,16,8
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,55463308,112,G#,Major,80,15,54,9,0,38,5,38
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,151312263,166,C#,Major,70,57,57,9,20,11,7,16
Smoking on my Ex Pack,SZA,1,2022,12,9,28643659,81,G#,Major,47,33,68,24,0,22,38,21
Conceited,SZA,1,2022,12,9,28506432,150,C#,Major,79,77,46,5,0,11,7,9
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,162122892,110,A,Major,66,19,32,69,0,12,4,38
Maroon,Taylor Swift,1,2022,10,21,159260326,108,G,Major,64,4,40,6,0,10,6,6
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,9,28,58217350,130,E,Minor,89,48,74,30,0,7,36,15
Bejeweled,Taylor Swift,1,2022,10,21,164514112,164,G,Major,70,39,56,6,0,9,7,9
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,304874607,114,B,Minor,80,42,68,2,0,66,4,5
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25,271118941,90,C#,Minor,87,51,69,36,0,9,8,12
Too Late,SZA,1,2022,12,8,24693059,128,B,Major,45,35,68,78,0,39,8,8
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,308045733,97,A,Major,83,47,80,2,0,24,9,5
Far,SZA,1,2022,12,9,25885394,116,D,Major,61,48,55,67,0,16,8,3
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,39167648,80,F,Minor,33,51,59,76,0,44,6,26
GATï¿½ï¿½,"Maldy, Karol G",2,2022,8,25,161571007,93,B,Minor,63,34,86,26,0,21,39,9
Is There Someone Else?,The Weeknd,1,2022,1,7,196114747,135,A,Minor,70,60,58,4,0,16,3,22
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,175229776,109,F,Major,60,45,47,62,0,31,5,15
Do It To It,"Cherish, ACRAZE",2,2021,8,20,226049866,125,B,Minor,85,64,81,2,5,7,9,11
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,59768205,121,G,Minor,80,62,51,2,0,9,8,26
Gasoline,The Weeknd,1,2022,1,7,58597918,123,F#,Minor,74,35,73,0,0,21,5,8
Infinity,Jaymes Young,1,2017,6,23,128774718,122,B,Minor,67,50,67,15,0,30,4,8
Take My Breath,The Weeknd,1,2021,8,6,43769874,121,A#,Minor,70,35,77,1,0,26,4,14
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,44162053,135,C#,Major,41,27,64,36,0,60,3,46
Best Friends,The Weeknd,1,2022,1,7,50683885,87,E,Minor,49,49,59,44,0,35,21,12
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,527783625,111,G#,Major,77,74,66,30,0,13,3,24
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,45942582,110,D,Major,75,85,84,10,0,31,19,40
Dawn FM,The Weeknd,1,2022,1,7,27034179,78,A,Minor,27,10,49,62,0,49,5,7
Surface Pressure,Jessica Darrow,1,2021,11,19,89699480,180,D,Major,65,37,58,2,0,4,31,16
Starry Eyes,The Weeknd,1,2022,1,7,37393979,86,A,Minor,28,13,41,50,0,19,3,11
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,308468330,88,C#,Minor,74,55,85,1,0,5,22,17
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,180765163,97,C#,Major,68,72,78,4,0,7,5,31
Beggin,Mï¿½ï¿½ne,1,2017,12,8,198344694,134,B,Minor,71,59,80,13,0,36,5,6
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,145637903,116,D,Major,75,36,76,12,0,10,10,17
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,259807665,170,E,Minor,64,14,70,9,0,9,8,49
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,219765567,118,G,Minor,75,46,76,3,0,9,4,9
Malvadï¿½ï¿½,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30,80629623,133,F#,Minor,82,52,61,38,0,14,27,12
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,7,31981518,122,A#,Major,77,25,62,34,0,23,3,22
Oh My God,Adele,1,2021,11,19,156182578,88,C#,Major,53,55,73,9,0,3,5,9
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,118766414,170,F,Minor,70,61,44,40,0,37,4,41
A Tale By Quincy,The Weeknd,1,2022,1,7,21014638,94,F,Minor,46,55,50,71,0,10,11,16
I AM WOMAN,Emmy Meli,1,2021,11,18,75462141,170,A#,Major,65,46,47,12,0,13,16,10
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27,131732679,90,E,Minor,79,79,70,57,0,66,8,7
It'll Be Okay,Shawn Mendes,1,2021,12,1,96212736,78,G,Major,40,7,29,62,0,9,3,13
Softcore,The Neighbourhood,1,2018,3,9,101215374,94,D,Major,57,36,58,5,0,15,3,8
Super Gremlin,Kodak Black,1,2021,10,30,114831581,73,D,Major,83,11,41,0,0,36,14,13
Volvï¿½,"Aventura, Bad Bunny",2,2021,8,3,225724308,176,C#,Major,73,79,86,42,0,7,18,7
Todo De Ti,Rauw Alejandro,1,2020,11,2,294355542,128,D#,Minor,81,57,63,40,1,10,4,10
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,128489829,82,D,Major,63,85,62,6,0,35,4,21
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,133624160,95,D,Major,77,40,47,2,0,9,3,19
Tacones Rojos,Sebastian Yatra,1,2021,10,22,171144439,123,B,Minor,75,93,86,8,0,14,3,13
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,444152725,110,E,Minor,73,14,57,40,0,11,5,6
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,125354665,96,C#,Minor,66,76,82,47,0,10,32,39
Lï¿½ï¿½ï¿½,Stromae,1,2022,1,9,54540556,88,D,Minor,56,58,55,35,0,23,11,10
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,146293546,98,A,Minor,73,60,85,17,0,24,5,11
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,118612341,110,C#,Minor,86,31,53,43,0,11,6,44
Butter,BTS,1,2021,5,21,383123602,110,G#,Major,79,70,36,0,0,6,11,6
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,156086815,78,C#,Minor,77,49,42,1,1,13,19,27
You Right,"Doja Cat, The Weeknd",2,2021,6,24,225340773,129,G#,Major,83,44,62,2,0,8,6,9
deja vu,Olivia Rodrigo,1,2021,4,1,421056757,181,A,Major,44,22,60,61,0,42,9,7
TO THE MOON,Jnr Choi,1,2021,11,5,82107378,144,D,Major,74,39,65,5,1,11,35,11
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,138723762,101,D,Major,66,18,68,9,0,12,4,16
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,87574109,84,D,Major,67,78,63,29,0,12,5,15
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,204366126,154,F#,Major,66,63,69,21,0,11,7,15
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,373821627,148,F,Major,59,72,62,18,0,9,3,19
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,199152620,146,F,Minor,85,22,37,13,0,7,30,43
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,189930623,120,B,Minor,77,51,79,20,0,26,6,12
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,61954200,141,C#,Major,59,56,63,12,0,6,36,19
Phantom Regret by Jim,The Weeknd,1,2022,1,7,16019734,108,A,Minor,46,23,48,75,30,14,4,21
Freaks,Surf Curse,1,2015,5,10,93444947,180,A,Major,35,41,94,0,63,5,5,6
Acapulco,Jason Derulo,1,2021,9,1,121762162,122,A#,Major,77,51,79,5,0,16,5,8
Daddy Issues,The Neighbourhood,1,2015,10,30,127794307,85,A#,Major,59,33,52,7,15,12,3,12
thought i was playing,"21 Savage, Gunna",2,2022,1,7,30416320,148,C#,Major,68,29,73,0,0,7,7,21
ELEVEN,IVE,1,2021,12,1,82992554,120,A,Major,83,59,73,6,0,5,11,6
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,51857500,120,E,Major,72,54,71,26,0,10,4,19
Miserable Man,David Kushner,1,2022,1,7,62359224,110,A#,Major,63,31,35,93,0,29,3,13
happier,Olivia Rodrigo,1,2021,5,21,284954974,169,F#,Major,39,36,45,81,0,8,13,7
Praise God,Kanye West,1,2021,8,29,126072085,118,C#,Major,80,21,55,1,0,26,17,10
Get Into It (Yuh),Doja Cat,1,2021,6,25,173123564,92,G#,Minor,91,79,66,32,0,9,16,17
Before You Go,Lewis Capaldi,1,2019,11,1,324833151,112,D#,Major,45,19,60,63,0,9,6,13
Sky,Playboi Carti,1,2020,12,25,127646497,140,D,Major,79,56,91,26,0,13,21,3
Rolling in the Deep,Adele,1,2010,11,29,108653084,105,G#,Major,73,52,76,13,0,5,3,19
