track_name,artist_name,artist_count,released_year,released_month,released_day,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,number_characters
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,357925728,95,F,Minor,77,53,64,74,0,17,14,4
Hey Mor,"Ozuna, Feid",2,2022,10,6,337878944,98,C#,Minor,90,40,59,0,0,10,29,7
Karma,Taylor Swift,1,2022,10,21,202787120,90,G#,Major,64,10,62,7,0,48,7,5
People,Libianca,1,2022,12,2,187066477,198,A#,Minor,59,71,42,55,0,10,7,6
Overdrive,Post Malone,1,2023,7,14,14780425,140,C#,Major,56,48,73,0,0,35,4,9
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,39578178,82,G#,Major,51,22,53,1,0,15,3,28
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,54266102,130,C#,Minor,77,84,89,17,0,43,5,10
golden hour,JVKE,1,2022,7,15,376506179,94,C#,Minor,51,14,59,65,18,25,3,11
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,679978249,128,D,Major,62,55,78,1,3,23,4,37
Viva La Vida,Coldplay,1,2008,1,1,103333678,138,F,Minor,49,42,62,9,0,11,3,12
Here With Me,d4vd,1,2022,7,17,318500285,132,E,Major,58,27,48,50,0,12,3,12
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,616876286,131,D,Major,71,24,47,1,0,27,9,25
Yandel 150,"Yandel, Feid",2,2022,12,20,293579801,168,F#,Minor,78,58,73,5,0,10,7,10
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,43857627,98,C#,Major,68,40,79,33,0,30,6,15
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,301239643,101,A#,Major,34,32,57,78,0,20,3,56
Novidade na ï¿½ï¿½,"Mc Livinho, DJ Matt D",2,2023,6,23,39709092,130,F,Major,63,36,34,76,0,35,9,18
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,39228929,142,D,Major,50,20,64,1,0,12,3,35
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,892893897,170,C#,Major,59,48,76,4,0,10,5,25
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,223633238,124,G#,Minor,78,70,68,3,1,11,4,11
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,722179852,92,C#,Minor,91,43,71,9,0,9,8,15
Makeba,Jain,1,2015,6,22,18757007,116,D,Major,82,40,66,39,51,25,7,6
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,4972048,129,A,Major,63,84,82,70,8,9,7,18
Fast Car,Luke Combs,1,2023,3,24,157058870,98,G#,Major,71,67,60,19,0,12,3,8
What It Is (Solo Version),Doechii,1,2023,3,17,95131998,172,C#,Minor,74,76,76,6,0,10,9,25
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,250305248,150,D,Major,68,14,76,4,0,10,4,11
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,99335815,136,A,Minor,62,19,53,11,0,6,4,16
Still With You,Jung Kook,1,2020,6,5,9675131,88,C#,Minor,53,34,47,9,0,83,4,14
