track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,number_characters
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,35
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,4
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,7
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,166638087,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,12
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,14
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,8
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,15
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,8
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,C,Minor,85,22,62,12,0,28,9,8
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,15
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251,83,F#,Minor,57,56,72,23,0,27,5,9
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7,9
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,8
Kill Bill,SZA,1,2022,12,8,8109,77,587362101,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,9
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3,17
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,43,100,54,14,187,100,B,Major,86,67,66,14,0,12,16,10
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4,10
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4,9
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3,51
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,32,11,139,133,F,Minor,85,81,67,26,0,12,5,40
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,74,182,87,14,"1,093",99,C#,Major,85,83,68,7,0,36,20,93
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,11
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,454087459,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4,29
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4,12
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,10
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0,0,143,38,0,110,B,Minor,67,78,85,2,0,33,5,39
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,4
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,5
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,426198401,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,8
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,504872713,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,9
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,3
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,30
Blank Space,Taylor Swift,1,2014,1,1,11434,53,148121035,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,11
Style,Taylor Swift,1,2014,1,1,7830,42,85880223,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,5
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,3
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,7
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,491724901,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,45
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,560263565,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,15
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,158708777,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,13
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,146935719,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,15
Die For You,The Weeknd,1,2016,11,24,2483,59,220703588,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,11
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,343583074,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,7
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,19
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5,8
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,18
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,8
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,28
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,9
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,613111893,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,10
Tï¿½ï¿½,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5,7
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,18
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,363819171,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,39
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14,4
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,340406606,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29,7
Karma,Taylor Swift,1,2022,10,21,3818,23,204304164,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,5
People,Libianca,1,2022,12,2,3506,56,188465916,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,6
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,9
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,28
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,10
golden hour,JVKE,1,2022,7,15,4511,36,379322810,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,11
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,685065145,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4,37
Viva La Vida,Coldplay,1,2008,1,1,33898,62,115178441,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,12
Here With Me,d4vd,1,2022,7,17,3246,23,320882976,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,12
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,621491119,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,25
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,295776063,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,10
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,15
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,303493208,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3,56
Novidade na ï¿½ï¿½,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,18
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,35
