track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,number_characters
558,260,0.47136412503226527,0.7363407710153185,0.2568880434201551,-0.000286308108557912,-0.548575862432275,7.157642541191216,141381703,-0.18984079672254567,4.273550579558539,45,1.3394840976715263,826,0.0860270431153903,2,0,0.8493867652869069,1.6343328186394195,1.188027869688751,0.2002720035231501,-0.1884161556505388,-0.7550127507300141,-0.6513003364689907,1.4128905323552512
322,326,-0.65813104249788,0.7363407710153185,-0.8861699950391629,0.9814641961367455,-0.402492208407357,1.907735024274677,133716286,-0.12216738396871904,1.5282009644547938,58,2.0600537287521496,382,-1.0915646967755184,3,0,0.21636194064687117,0.4321634392527183,0.6144221860555874,-0.7605292557715428,-0.1884161556505388,-0.6063897292739896,-0.6513003364689907,-0.9464548766151818
752,351,-0.65813104249788,0.7363407710153185,-0.028876466194674405,1.7450479216608703,-0.41470549978620463,5.35464400002796,140003974,0.5004280133664859,3.1513638755745266,91,2.0600537287521496,949,0.5499268194360514,7,0,-1.1903598918865417,-0.8129405608263651,-0.7239910757551277,-0.3601953977320875,-0.1884161556505388,0.9541519960142675,-0.4578146224770332,-0.7181311273599786
141,455,-0.65813104249788,-0.6968435649072258,0.5426525530349846,0.9814641961367455,0.6101006768207393,4.665262204877304,800840817,0.798191029483323,3.1513638755745266,125,1.699768913211838,548,1.6918339611484476,0,0,-0.9090155253798592,0.3033595771755717,0.4869542563593288,-0.6003957125557607,-0.1884161556505388,-0.5320782185459774,0.4128710904867753,-0.33759154526797325
699,34,-0.65813104249788,0.7363407710153185,-0.3146409758095039,0.4360472493337991,-0.13935129415400302,2.0137937619901627,303236322,0.36508118785883265,1.6684743024527955,87,2.2401961365223055,425,0.7640344085071257,0,1,-0.2056546091131527,-1.1993521470578048,0.9968259751443631,-0.4802955551439241,6.967522110298643,-0.5320782185459774,-0.4578146224770332,-0.18537571243117112
590,94,0.47136412503226527,0.7363407710153185,-0.028876466194674405,-1.4183703697962184,-0.289558916696454,4.1879978851576185,183706234,0.13499158449582213,3.2715981652870996,88,2.6004809520626173,946,0.6569806139715885,3,0,1.6934198648069547,0.6468365427146292,-0.40532125151448123,-0.28012862612419637,-0.1884161556505388,-0.7550127507300141,1.2835568034505838,-0.6420232109415775
193,134,0.47136412503226527,0.7363407710153185,-0.8861699950391629,0.2178804706126206,-0.14617170362530754,2.0137937619901627,725980112,-0.3116529396794336,3.4519495998559586,43,1.8799113209819938,418,0.9067728012211752,7,1,-0.06498242585981141,1.3767250944851264,0.7418901157518459,0.8808395621902243,-0.1884161556505388,-0.7550127507300141,-0.7480431934649694,-0.10926779601277006
129,379,-0.65813104249788,0.7363407710153185,0.2568880434201551,-0.7638700336326828,-0.5230389804583209,1.6425881799859627,58149378,-0.4334650826363215,0.7867561778939283,30,1.8799113209819938,194,-0.8060879113474193,7,0,-0.06498242585981141,-1.0705482849806582,0.4232202915111995,0.4404723183468233,-0.1884161556505388,-0.5320782185459774,-0.6513003364689907,-0.6420232109415775
739,162,-0.65813104249788,0.7363407710153185,-0.3146409758095039,0.10879708125203136,-0.46244836608533635,3.7637629342956758,95217315,0.040248806640464846,3.211481020430813,48,1.5196265054416822,953,0.26445003400795225,3,1,1.2010672234202602,-1.242286767750187,-0.15038539212196408,-0.5603623267518152,-0.1884161556505388,0.7312174638302308,-0.16758605148909705,-0.6420232109415775
330,365,0.47136412503226527,0.7363407710153185,-0.8861699950391629,0.32696385997320987,-0.16790184542923128,1.6956175488437057,553634067,-0.10863270141795373,1.207576191887933,66,1.8799113209819938,339,1.6918339611484476,4,1,0.9197228569135776,0.21749033579080737,-1.042660899995774,-0.2000618545163053,-0.1884161556505388,-0.7550127507300141,2.154242516414392,-0.10926779601277006
751,36,0.47136412503226527,0.7363407710153185,-0.6004054854243335,0.32696385997320987,-0.18011513680807895,1.4835000734127344,505671438,-0.21691016182407633,3.111285779003669,54,1.699768913211838,251,-1.41272608038213,8,1,-0.7683433421265179,0.21749033579080737,0.4869542563593288,-0.11999508290841421,-0.1884161556505388,0.6569059531022186,-0.5545574794730119,-0.5659152945231765
613,341,-0.65813104249788,0.7363407710153185,0.2568880434201551,-0.7638700336326828,-0.5693543191936912,2.278940606278877,58255150,-0.2710488920271376,3.0511686341473827,21,0.43877205882074705,168,0.9781419975782,7,1,0.7087145820335657,0.04575185302127863,1.1242939048406217,-0.3201620119281419,-0.1884161556505388,-0.23483217563392839,-0.36107176548105446,-0.5659152945231765
158,98,-0.65813104249788,0.7363407710153185,-0.6004054854243335,-0.000286308108557912,-0.07669869552225207,4.559203467161818,387570742,0.31094245765577133,2.129372413017658,182,3.861477806453708,"1,281",0.26445003400795225,4,1,-1.1903598918865417,-0.8129405608263651,-1.3613307242364205,2.282008065328318,-0.1884161556505388,-0.6807012400020018,-0.7480431934649694,-0.6420232109415775
314,404,-0.65813104249788,0.37804468703468236,1.6857105914943027,-0.6547866442720935,0.6499128344323076,3.445586721149219,1163093654,1.7050147603845998,2.249606702730231,161,1.699768913211838,187,-1.1986184913110556,10,0,-0.27599070073982335,-0.340659733210161,0.5506882212074581,-0.840596027379434,1.742551312938923,-0.16052066490591613,-0.6513003364689907,-0.5659152945231765
